date,value_A,value_AG,value_AL,value_AO,value_AP,value_AU,value_B,value_BC,value_BR,value_BU,value_C,value_CF,value_CJ,value_CS,value_CU,value_EB,value_EC,value_EG,value_FG,value_FU,value_HC,value_I,value_J,value_JD,value_JM,value_L,value_LC,value_LG,value_LH,value_LU,value_M,value_MA,value_NI,value_NR,value_OI,value_P,value_PF,value_PG,value_PK,value_PP,value_PR,value_PS,value_PX,value_RB,value_RM,value_RU,value_SA,value_SF,value_SH,value_SI,value_SM,value_SN,value_SP,value_SR,value_SS,value_TA,value_UR,value_V,value_Y,value_ZN
2024-01-22,200000.0,200000.0,200000.0,200000.0,200000.0,199741.7508633721,200000.0,200000.0,200000.0,200000.0,200000.0,199100.05075426123,200000.0,200000.0,199778.7565929393,200000.0,207133.05186726747,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200154.08176802416,200000.0,200000.0,200000.0,200843.02978619415,200000.0,200000.0,200000.0,200000.0,200000.0,199901.75427727663,200000.0,200000.0,200000.0,200015.2893421218,200000.0,200000.0,201543.42682676908,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,201596.65854410475,200000.0,200000.0,198979.54553971856,200380.19582833268
2024-01-23,200000.0,199199.6781244552,200000.0,200000.0,200000.0,199741.7508633721,200000.0,200000.0,200000.0,200000.0,199178.08269676828,199901.27034670065,200000.0,200000.0,199405.3379202097,200000.0,207133.05186726747,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198551.5708803138,200000.0,200164.05617118248,200000.0,200000.0,200000.0,200843.02978619415,200000.0,200000.0,200000.0,197761.87211756915,200000.0,199901.75427727663,200000.0,200000.0,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200000.0,200000.0,200556.2580321938,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200380.7753017579,200000.0,202022.27122604928,200000.0,200000.0,198533.9211988136,200380.19582833268
2024-01-24,200000.0,199650.4266463497,200000.0,200530.75218027303,200000.0,199741.7508633721,200000.0,200000.0,200000.0,200000.0,198703.228401341,199901.27034670065,200000.0,200000.0,199405.3379202097,200000.0,207133.05186726747,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,198575.9966367781,200000.0,200164.05617118248,200000.0,200000.0,200000.0,200843.02978619415,200000.0,200000.0,201195.4491250072,198446.24383636925,200000.0,199901.75427727663,200000.0,200000.0,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200000.0,200000.0,200556.2580321938,200017.0386946772,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200907.5009579729,200000.0,202022.27122604928,200000.0,200000.0,198533.9211988136,200687.439739794
2024-01-25,200000.0,200321.5653404905,199961.00518514632,200530.75218027303,200000.0,199741.7508633721,200000.0,201585.3180990976,200000.0,200000.0,198836.177184877,199901.27034670065,200000.0,200000.0,200312.248093654,200000.0,207133.05186726747,200000.0,200000.0,200000.0,199703.61907306832,199301.0699388104,200000.0,198575.9966367781,200000.0,200164.05617118248,200000.0,200000.0,200000.0,200843.02978619415,200000.0,200966.60850081805,202349.2339917567,198446.24383636925,200000.0,199901.75427727663,200000.0,201057.06315207272,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,199424.6996560119,200000.0,200556.2580321938,200017.0386946772,200000.0,200000.0,200000.0,200000.0,200484.6782901837,200000.0,200907.5009579729,200000.0,202022.27122604928,200000.0,200000.0,198533.9211988136,200687.439739794
2024-01-26,201252.507960432,200929.89901984224,199961.00518514632,200530.75218027303,200000.0,199741.7508633721,201053.26818279625,202377.6102146146,200000.0,200070.8657954461,198795.43817675588,199901.27034670065,200000.0,200000.0,201054.26366263413,200000.0,207133.05186726747,198632.43706429927,200000.0,199819.92693775368,199814.6129816904,200804.0066143674,200000.0,198575.9966367781,200000.0,200164.05617118248,200000.0,200000.0,200000.0,200843.02978619415,200129.3914098822,200966.60850081805,202349.2339917567,198446.24383636925,199682.64485497345,199901.75427727663,200000.0,201057.06315207272,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200128.41772972856,200000.0,200556.2580321938,200017.0386946772,200000.0,200000.0,200000.0,200000.0,199647.8780598156,199194.0087532254,200907.5009579729,200000.0,202051.29127034656,200000.0,200000.0,198533.9211988136,200551.8267353685
2024-01-29,200839.93155562217,200929.89901984224,197656.8086709017,200924.64573475352,200000.0,199741.7508633721,201053.26818279625,202377.6102146146,200000.0,201303.4632197147,198795.43817675588,199901.27034670065,200000.0,200000.0,201054.26366263413,200000.0,207133.05186726747,197907.38111284468,200000.0,201153.40340030496,199814.6129816904,200804.0066143674,200000.0,198575.9966367781,200000.0,200164.05617118248,200000.0,200000.0,200000.0,201423.88262083565,201053.5745659451,200966.60850081805,202349.2339917567,198446.24383636925,200985.79162335937,199901.75427727663,200000.0,201057.06315207272,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200128.41772972856,200201.8497832944,200556.2580321938,203394.2075705492,200000.0,200000.0,200000.0,200000.0,199386.62841884643,198724.8471573861,200907.5009579729,199799.36936256496,202519.22667952636,200566.1516701684,200000.0,198533.9211988136,200795.9111565643
2024-01-30,199872.893547662,200929.89901984224,197656.8086709017,200924.64573475352,201585.41800808092,199422.3645110298,201963.05357556575,202377.6102146146,200000.0,201303.4632197147,198795.43817675588,199901.27034670065,201021.5696352829,199402.1964717988,201054.26366263413,200000.0,207133.05186726747,197907.38111284468,200000.0,201153.40340030496,199814.6129816904,200804.0066143674,200000.0,198575.9966367781,200000.0,200164.05617118248,200000.0,200000.0,200000.0,200453.7069859699,201545.06869437773,200966.60850081805,202349.2339917567,198446.24383636925,200985.79162335937,199901.75427727663,200000.0,201057.06315207272,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200128.41772972856,199920.8823525216,200556.2580321938,203394.2075705492,200000.0,200000.0,200000.0,200367.75537996824,199386.62841884643,198713.08319585896,200907.5009579729,199129.417232463,202519.22667952636,200566.1516701684,200000.0,198533.9211988136,200795.9111565643
2024-01-31,200201.00941906724,201599.53515783048,197656.8086709017,200924.64573475352,201585.41800808092,199422.3645110298,201963.05357556575,202620.54092887943,200402.6747898021,201303.4632197147,198795.43817675588,199901.27034670065,201635.42990243767,199402.1964717988,201054.26366263413,200000.0,205739.86609939256,197907.38111284468,200000.0,201153.40340030496,199814.6129816904,200804.0066143674,200000.0,198575.9966367781,201501.58940811496,200164.05617118248,200000.0,200000.0,200000.0,200453.7069859699,201545.06869437773,200966.60850081805,202349.2339917567,198446.24383636925,201918.2431584382,201379.2661718792,200000.0,201057.06315207272,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200128.41772972856,199920.8823525216,200556.2580321938,203394.2075705492,200000.0,200000.0,200000.0,200367.75537996824,199386.62841884643,198713.08319585896,200907.5009579729,199129.417232463,202519.22667952636,200566.1516701684,200000.0,199541.99975875585,200795.9111565643
2024-02-01,200575.2442147168,201599.53515783048,197656.8086709017,200924.64573475352,201191.17559708664,199982.63403265024,202099.73759965244,203169.06653594825,200402.6747898021,201303.4632197147,198795.43817675588,199901.27034670065,201635.42990243767,199402.1964717988,197582.92973563485,200000.0,209127.16849936053,197907.38111284468,200000.0,201153.40340030496,200394.8181340829,202387.84912709752,200000.0,198575.9966367781,202661.9045250966,200164.05617118248,200000.0,200000.0,200000.0,200453.7069859699,202178.68716648576,200966.60850081805,202349.2339917567,198446.24383636925,201542.32045940668,202268.9153897702,200000.0,201057.06315207272,200000.0,201277.83868247748,200000.0,200000.0,201543.42682676908,200791.86669795756,199920.8823525216,200556.2580321938,203394.2075705492,200000.0,200000.0,200000.0,200367.75537996824,199386.62841884643,198713.08319585896,200907.5009579729,199129.417232463,202519.22667952636,200566.1516701684,200000.0,199573.94497968696,200795.9111565643
2024-02-02,199469.2121006025,201599.53515783048,197656.8086709017,200924.64573475352,201953.0530711808,199982.63403265024,201876.0630050029,203169.06653594825,200402.6747898021,201303.4632197147,199538.67327802812,199901.27034670065,201635.42990243767,199402.1964717988,198020.35114667664,200000.0,209127.16849936053,197907.38111284468,201003.4494544149,201153.40340030496,200394.8181340829,202387.84912709752,200000.0,198575.9966367781,204213.6119513906,200761.8634675714,200000.0,200000.0,200000.0,200453.7069859699,202380.16457413923,200966.60850081805,202349.2339917567,198446.24383636925,201542.32045940668,202268.9153897702,200075.74624019803,201728.5914202488,200000.0,201695.0922509929,200000.0,200000.0,201606.62514266884,201816.7889786271,199155.4239413396,200270.4270513016,203394.2075705492,201107.91388874064,200000.0,200000.0,200367.75537996824,200027.6434750665,198713.08319585896,200907.5009579729,199512.7564003488,202549.5638211441,200566.1516701684,199665.04403243423,199573.94497968696,200795.9111565643
